Gene,Cluster,Assigned Tissue
PAR12.1,10,BHTB
UGPA,10,BHTB
PSB7.1,10,BHTB
MUC5B.1,10,BHTB
AGAL,10,BHTB
STAT2,10,BHTB
P4K2B,10,BHTB
HYKK,10,BHTB
ACSA,10,BHTB
ST3A1,10,BHTB
GPC6A.2,10,BHTB
E41LB,10,BHTB
CB069,10,BHTB
STRP2,10,BHTB
ERH,10,BHTB
CC038.1,10,BHTB
PNCB,10,BHTB
NHRF1,10,BHTB
FANCL,10,BHTB
A33.38,10,BHTB
ITPK1.1,10,BHTB
ARRD4,10,BHTB
FADD,10,BHTB
MYOC,11,ET
B3GA1,11,ET
PITX3,11,ET
BMPR2,11,ET
CCD18,11,ET
LFNG,11,ET
LMTK1,11,ET
TR19L,11,ET
JUPI2,11,ET
UBP14,11,ET
NR13,11,ET
TBX3,11,ET
INHBA,11,ET
ABCD3,11,ET
SP6,11,ET
TCPH,11,ET
NRSN1,11,ET
LEF1,11,ET
CEPT1,11,ET
SMCA4,11,ET
EVA1C,11,ET
ID1,11,ET
HACD3,11,ET
PLOD2,11,ET
HOME2,11,ET
TRPM7,11,ET
S4A4.1,11,ET
CXG1.1,11,ET
LIPE.1,11,ET
DYN3,11,ET
TBB,11,ET
E41L5,11,ET
PITX2,11,ET
PITX3.1,11,ET
PLXB1,11,ET
NEUV,11,ET
SERA,11,ET
BPI,11,ET
EM55,11,ET
SMAD1.1,11,ET
IHH,11,ET
DYL2,11,ET
SNX24,11,ET
RAB34,11,ET
CEIP2,11,ET
PORIM,11,ET
TSN,11,ET
RANG,11,ET
UBP54,11,ET
MEG10.1,11,ET
SGK1,11,ET
CL029,11,ET
SESD1,11,ET
SEM3D,11,ET
S13A4,11,ET
PP14C,11,ET
ABCA1.1,11,ET
RT07,11,ET
PTPRB,11,ET
IPYR,11,ET
NED4L,11,ET
IFT74,11,ET
C4BPA.1,11,ET
AT8A2,11,ET
CTNNB1,11,ET
CLPT1,11,ET
SDC3,11,ET
SORCN.1,11,ET
RPGF5,11,ET
CALD1,11,ET
CKLF3,11,ET
GRIP1.1,11,ET
PHTF2,11,ET
CXG1,11,ET
CAH7,11,ET
ENOA,11,ET
SESN1,11,ET
TBA1C,11,ET
CF157,11,ET
INHBB,11,ET
HES2,11,ET
SERC1,11,ET
DACT2,11,ET
TNR19,11,ET
S26A2.1,11,ET
TCPE,11,ET
AT1B1,11,ET
PARN,11,ET
S12A4,11,ET
DOCK7,11,ET
GEMI2,11,ET
S13A2,11,ET
S13A2.1,11,ET
ACAD8,11,ET
TTC14,11,ET
CETN3,11,ET
ACKR4,11,ET
ANXA3,11,ET
MPC2,11,ET
ECE2,11,ET
PSB7,11,ET
CPMD8,11,ET
PARP1,11,ET
EPHA4,11,ET
EPHB3,11,ET
CADM1,11,ET
KCNK5,11,ET
SEPT9.1,11,ET
SPNS2,11,ET
NFIP2,11,ET
KCNJ5,11,ET
GBX2,11,ET
WDR47,11,ET
APLP2,11,ET
DCK.2,11,ET
TIAM2,11,ET
MVD1,11,ET
CH60,11,ET
IBP2,11,ET
PPM1G,11,ET
HMGB1.1,11,ET
FBLN4,11,ET
SPDLY,11,ET
HSDL2,11,ET
UBE4A,11,ET
HEY1.1,11,ET
SRSF4,11,ET
RAP1B,11,ET
NAA20,11,ET
ADML,11,ET
MED24,11,ET
MF14A.1,11,ET
SEM6A,11,ET
CO4A2.1,11,ET
PA2A,11,ET
MAPK5,11,ET
GSKIP,11,ET
CHSTB.1,11,ET
AL14E,11,ET
PUR6,11,ET
CD37,11,ET
PPIC,11,ET
NSUN2,11,ET
U2QL1,11,ET
TMM64,11,ET
SCUB3,11,ET
APCD1.1,11,ET
ARVC,11,ET
SRS11,11,ET
VGLL4.1,11,ET
MYEF2,11,ET
ANGL3,11,ET
PLCD3,11,ET
ID3A,11,ET
SGT1,11,ET
CSPG4,11,ET
DC1I1,11,ET
CA216,11,ET
ANXA6,11,ET
DRC8,11,ET
LEF1.1,11,ET
BMP7.2,11,ET
MYCPP.1,11,ET
PPCE.1,11,ET
PLS2,11,ET
ANR50.1,11,ET
ERG1,11,ET
HELB,11,ET
MTAP2.1,11,ET
MACF1.4,11,ET
KCJ12,11,ET
STXB1,11,ET
BORG2,11,ET
ILF2,11,ET
CLH1,11,ET
DAG1,11,ET
DKK1,11,ET
UB2E2,11,ET
TCPZ.1,11,ET
CCN2,11,ET
GMPR1,11,ET
ITM2B.1,11,ET
PDPN,11,ET
PZRN3,11,ET
NOG2,11,ET
PCDG6.1,11,ET
AT1A,11,ET
DCTP1,11,ET
MK06,11,ET
HBEGF,11,ET
SACA4,11,ET
IDHP,11,ET
RADI,12,ET
CO8A1,12,ET
PRIC1,12,ET
EYA1,12,ET
FA49A,12,ET
OLM2B,12,ET
CHAD.1,12,ET
CATL1.2,12,ET
TWIST,12,ET
TGFR2,12,ET
LEG4,12,ET
BMP4,12,ET
LTBP3,12,ET
NPTN,12,ET
DPYL2,12,ET
PCOC2,12,ET
TMM47.1,12,ET
ANGL2.1,12,ET
VINC,12,ET
KCT2.1,12,ET
CD34,12,ET
ATS9,12,ET
CCN2.1,12,ET
NXN,12,ET
SHD,12,ET
CYTL1,12,ET
CD276.6,12,ET
PZRN4,12,ET
RHG24,12,ET
SO2A1,12,ET
PCD10.17,12,ET
TSP2,12,ET
TSP2.1,12,ET
BMP1,12,ET
TGFR1,12,ET
IF20A,12,ET
LAMB2,12,ET
SYNE1,12,ET
CDR2L,12,ET
CA198,12,ET
TIMP3,12,ET
MMP15,12,ET
GLO2,12,ET
PAXI.2,12,ET
TWST2.1,12,ET
CRIP2,12,ET
HECAM.1,12,ET
FMN2.1,12,ET
ITA5,12,ET
TRIL,12,ET
ACVR1,12,ET
EYA4,12,ET
PBX3,12,ET
SOX8,12,ET
IKIP,12,ET
PXDN,12,ET
PCDGI,12,ET
ANGP2.1,12,ET
CNN3.1,12,ET
GPX8B,12,ET
FA49B,12,ET
PTK7,12,ET
AGRA3,12,ET
MYADM.1,12,ET
AUTS2.1,12,ET
EMIL1,12,ET
ATOH8,12,ET
DLX2A,12,ET
CLIC4,12,ET
KIRR1,12,ET
TSP4.1,12,ET
FAT1.4,12,ET
PI42A,12,ET
EMIL3,12,ET
TASOR,12,ET
PGBM.1,12,ET
RASF8,12,ET
SLIT3,12,ET
GRDN,12,ET
F110B,12,ET
DLGP4,12,ET
MAP9.1,12,ET
RHG21.2,12,ET
PHLA3,12,ET
GPC5,12,ET
FBLN7.1,12,ET
RSPO3,12,ET
TSN4,12,ET
LMO3,12,ET
NALCN,12,ET
FBN2.4,12,ET
TPPC3,12,ET
MF13A.1,12,ET
PRIC2,12,ET
CXL14,12,ET
SCHI1,12,ET
PKD2,12,ET
NKD2,12,ET
CALD1.1,12,ET
FKB14,12,ET
LOL2B,12,ET
TTC28,12,ET
SCMH1.1,12,ET
HTRA3,12,ET
SGCE,12,ET
ANDR,12,ET
TMTC1,12,ET
GDF10,12,ET
CP087,12,ET
GGH,12,ET
SERPH.1,12,ET
PHLB2,12,ET
TENS3.1,12,ET
SUFU,12,ET
TMM88,12,ET
ENDOU,12,ET
EVA1B,12,ET
FZD1,12,ET
HMCN1.1,12,ET
PTX3,12,ET
IF3T,12,ET
RIPR2.2,12,ET
SMYD3,12,ET
OLM2A,12,ET
EMP2.1,12,ET
INAM2,12,ET
FSTL1,12,ET
LORF2.349,12,ET
IMPA3,12,ET
VEGFC,12,ET
RFTN1,12,ET
ALX4,12,ET
CBPZ,12,ET
CHSS2,12,ET
C1QT5,12,ET
CYBR1,12,ET
PICAL.1,12,ET
HYAS2,12,ET
HERC1.3,12,ET
SDC2,12,ET
CDO1.1,12,ET
DLX1,12,ET
CRLD1,12,ET
CRTAP,12,ET
DSE,12,ET
CNMD.1,12,ET
TFPI1,12,ET
SELPB,12,ET
RAI14.1,12,ET
RADI.1,12,ET
PKHG1,12,ET
LPAR1.1,12,ET
SURF4.1,12,ET
TPK1,12,ET
CODA1,12,ET
CUBN.3,12,ET
FYN,12,ET
1433G,12,ET
NANO1.1,12,ET
SH3K1,12,ET
KANK2,12,ET
CTF2.1,12,ET
DCX,12,ET
CR3L3.1,12,ET
TIMP2,12,ET
ITB1,12,ET
TCPG,12,ET
CHSTF,12,ET
ZN521,12,ET
SPRC,12,ET
SFRP2,12,ET
PGFRL,12,ET
PCOC2.1,12,ET
LRP12,12,ET
RSPO1,12,ET
CYTB,13,BHTB
ARF6.1,13,BHTB
VATH,13,BHTB
LORF2.417,13,BHTB
MSLN,13,BHTB
UD3A1,13,BHTB
REPS2,13,BHTB
FRIH,13,BHTB
OSGI1,13,BHTB
PAR2,13,BHTB
TTC22,13,BHTB
UCHL1,13,BHTB
H33,13,BHTB
A33.9,13,BHTB
ABLM3,13,BHTB
ERBB4,13,BHTB
DGAT2,13,BHTB
SDF2,13,BHTB
LEG8,13,BHTB
MFRN2,13,BHTB
UBIQP.1,13,BHTB
ASCL1.2,13,BHTB
CAH12,13,BHTB
CIP4,13,BHTB
SRXN1,13,BHTB
RIPK2,13,BHTB
HSP7C,13,BHTB
PROD,13,BHTB
UPAR.6,13,BHTB
GRHL2,13,BHTB
UD2A1.1,13,BHTB
CH25H,13,BHTB
TRI33,13,BHTB
ABCAD,13,BHTB
H10,13,BHTB
PCY2,13,BHTB
PCYOX,13,BHTB
UBB,13,BHTB
K2012,13,BHTB
TM128,13,BHTB
CADH1,13,BHTB
IKBA.1,13,BHTB
VS10L,13,BHTB
TF,13,BHTB
ETHE1.1,13,BHTB
CYGB2,13,BHTB
RASK.1,13,BHTB
NFYB,13,BHTB
B2L14,13,BHTB
HECAM.5,13,BHTB
SQSTM,13,BHTB
CO4A6.1,13,BHTB
KCC2G,13,BHTB
CL081,13,BHTB
PKHN1,13,BHTB
CXB3,13,BHTB
CSCL1,13,BHTB
HERP1,13,BHTB
CO4A1.2,13,BHTB
AHR.1,13,BHTB
AP2B.1,13,BHTB
1433T,13,BHTB
AR1BA,13,BHTB
POL.75,13,BHTB
LORF2.236,13,BHTB
NOS,13,BHTB
TRIPC,13,BHTB
WIPF3,13,BHTB
NCOR2.2,13,BHTB
FOXR1,13,BHTB
ISCU,13,BHTB
CTIP,13,BHTB
AT2A2,13,BHTB
TNAP3.1,13,BHTB
NIPA4,13,BHTB
LRC31,13,BHTB
AMC2,13,BHTB
MA1A1,13,BHTB
EPCAM,13,BHTB
AN32A,13,BHTB
GLSK,13,BHTB
BIRC1,13,BHTB
NO40,13,BHTB
CAD20,13,BHTB
PINK1,13,BHTB
HIF1A.1,13,BHTB
LNEBL,13,BHTB
RDHE2,13,BHTB
EZRI,13,BHTB
ERLN2.1,13,BHTB
KC1A,13,BHTB
CD9.2,13,BHTB
PON2,13,BHTB
SDC4,13,BHTB
ACT5,13,BHTB
UPP1,13,BHTB
TM45B.1,13,BHTB
SAM9L,13,BHTB
FLVC1,13,BHTB
TM263,13,BHTB
CYLD.1,13,BHTB
CAV2,13,BHTB
DHRS4,13,BHTB
TTC3.1,13,BHTB
SSU72,13,BHTB
CD166.1,13,BHTB
DGKB,13,BHTB
FLVC2,14,BHTB
FA83F,14,BHTB
TMG1,14,BHTB
STRBP,14,BHTB
YD021,14,BHTB
GRHL1,14,BHTB
MSLNL.2,14,BHTB
CD2AP.1,14,BHTB
RGS2.1,14,BHTB
TRI11.2,14,BHTB
IN35,14,BHTB
GRB2,14,BHTB
F107B.1,14,BHTB
GALT6,14,BHTB
BTBDA,14,BHTB
LBH,14,BHTB
GGACT,14,BHTB
LGMN.1,14,BHTB
SEM4F,14,BHTB
HHLA2.1,14,BHTB
GSTA,14,BHTB
LFG4,14,BHTB
TMPS4,14,BHTB
S6A14.1,14,BHTB
S39A4,14,BHTB
PKP2,14,BHTB
BCAS1,14,BHTB
CLD4.1,14,BHTB
MX3.1,14,BHTB
IRF1,14,BHTB
ADAM9.2,14,BHTB
H2AY,14,BHTB
ABCAD.1,14,BHTB
FA83E,14,BHTB
KCT2,14,BHTB
RAL,14,BHTB
PRUN2,14,BHTB
CXAR.1,14,BHTB
CAN15,14,BHTB
STC2,14,BHTB
GSHB,14,BHTB
CNFN,14,BHTB
KDF1,14,BHTB
ITA8.1,14,BHTB
GCNT3,14,BHTB
NF7O,14,BHTB
CMGA,14,BHTB
GNMT,14,BHTB
ADPRH,14,BHTB
RGF1A,14,BHTB
ASTRC,14,BHTB
MAL2,14,BHTB
NOS1,14,BHTB
PIPNB,14,BHTB
CO039,14,BHTB
FPS,14,BHTB
LRRC1,14,BHTB
ESYT2,14,BHTB
FRM4B,14,BHTB
IF44L.1,14,BHTB
RN223,14,BHTB
RFIP1,14,BHTB
ZN217,14,BHTB
MA2A1,14,BHTB
CLIC1,14,BHTB
GRT1A,14,BHTB
TALDO,14,BHTB
KPCE,14,BHTB
PTN18,14,BHTB
HA2D.1,14,BHTB
GGCT,14,BHTB
REL.1,14,BHTB
DGKQ,14,BHTB
ANO10.1,14,BHTB
RHOF.1,14,BHTB
PAQRB,14,BHTB
GALT7,14,BHTB
PGDH,14,BHTB
SWAHA.1,14,BHTB
TM86A.1,14,BHTB
RAB26,14,BHTB
CC50A,14,BHTB
BST1,14,BHTB
CAN5.1,14,BHTB
CAN5.2,14,BHTB
ST1A1,14,BHTB
PLAK,14,BHTB
DHE3,14,BHTB
PAK2,14,BHTB
Y8948,14,BHTB
Y5521,14,BHTB
HCK,14,BHTB
KCP3,14,BHTB
SORT.1,14,BHTB
RUFY4,14,BHTB
A33.28,14,BHTB
TMM79,14,BHTB
1433B,14,BHTB
DHB12,14,BHTB
GTR2,14,BHTB
ZN750,14,BHTB
ARC1A,14,BHTB
PINLY,14,BHTB
MET27.1,14,BHTB
LIMA1.2,14,BHTB
TAGL3,14,BHTB
I22R1,14,BHTB
TM182,14,BHTB
ZCHC4,14,BHTB
TM125.1,14,BHTB
TPC6B,14,BHTB
CHMP5,14,BHTB
UROM,14,BHTB
UN93B,14,BHTB
VATE1,14,BHTB
PTPRZ,14,BHTB
ACM3,14,BHTB
HMR1,14,BHTB
CXB6,14,BHTB
F16A1,14,BHTB
SOX14,14,BHTB
VPS4B,14,BHTB
MOT12.1,14,BHTB
MALD3,14,BHTB
ILDR1,14,BHTB
SEPT5,14,BHTB
IF,14,BHTB
GOGA7,14,BHTB
POGK.1,14,BHTB
S6A14.3,14,BHTB
NF7B.4,14,BHTB
GA45A,14,BHTB
TMPS9,14,BHTB
S22AN,14,BHTB
PACER,14,BHTB
GP155,14,BHTB
RN128,14,BHTB
PERT,14,BHTB
TSCOT.1,14,BHTB
MEDAG,14,BHTB
VTCN1.1,14,BHTB
RAB5C,14,BHTB
MYOME,14,BHTB
MSLNL.3,14,BHTB
MAFK.1,14,BHTB
FAM3C,14,BHTB
A33.18,14,BHTB
TNFA.1,14,BHTB
TPRGL.2,14,BHTB
OLFM4.1,14,BHTB
STBD1,14,BHTB
EKI1.1,14,BHTB
GRK6.1,14,BHTB
ALDOB,14,BHTB
KCC2D,14,BHTB
LRRF2.1,14,BHTB
RBM47,14,BHTB
PTBP3,14,BHTB
ARLY,14,BHTB
CTL4,14,BHTB
A33.1,14,BHTB
SMOC1,14,BHTB
I20RA.1,14,BHTB
S35A3,14,BHTB
ADA28,14,BHTB
DEGS2,14,BHTB
TWF2.1,14,BHTB
MAP7,14,BHTB
IP3KB.2,14,BHTB
SFT2B,14,BHTB
OXDD,14,BHTB
RT4I1,14,BHTB
LIN1.13,14,BHTB
TMM62,14,BHTB
TMPSD,14,BHTB
ANXA2.1,14,BHTB
MYD88,14,BHTB
AGR2,14,BHTB
PURA2,14,BHTB
EX3L2,14,BHTB
HMR1.5,14,BHTB
HECA2.3,14,BHTB
S47A2,14,BHTB
LNX1,14,BHTB
GCNT2,14,BHTB
RPH3L,14,BHTB
RUN3B,14,BHTB
SARG,14,BHTB
TKT,14,BHTB
IL4RA,14,BHTB
VGLL1,14,BHTB
TNF10.1,14,BHTB
RN225,14,BHTB
TSN13,14,BHTB
A4GCT.2,14,BHTB
MAGI1,14,BHTB
CLD23,14,BHTB
TAC2N,14,BHTB
AIFM2,14,BHTB
FGF1,14,BHTB
ELF3,14,BHTB
ELF3.1,14,BHTB
RCN2,14,BHTB
IRF6,14,BHTB
BIRC2.1,14,BHTB
DOXA2,14,BHTB
HDGR3,14,BHTB
STYK1,14,BHTB
PKN2.1,14,BHTB
LRC19,14,BHTB
MAPK2,14,BHTB
STA10,14,BHTB
HOOK1,14,BHTB
NAL12.2,14,BHTB
SYNC,14,BHTB
DAZP2,14,BHTB
TF28.3,14,BHTB
TMM52,14,BHTB
MYO5C,14,BHTB
I10R2,14,BHTB
CRBG3,14,BHTB
CXB7,14,BHTB
GNAQ,14,BHTB
LMO7,14,BHTB
I13R1,14,BHTB
SCUB3.1,14,BHTB
LGAT1,14,BHTB
GBB1,14,BHTB
PHC1,14,BHTB
RHOG.1,14,BHTB
PRDX6,14,BHTB
K132L,14,BHTB
RHG40,14,BHTB
FA53A.1,14,BHTB
S26A4.1,14,BHTB
MAL.1,14,BHTB
FXDC2,14,BHTB
UBP47,14,BHTB
ST1C2.1,14,BHTB
ATF4,14,BHTB
ZC12A,14,BHTB
CD276.10,14,BHTB
RHPN2,14,BHTB
VTA1,14,BHTB
RAB37,14,BHTB
PKP3,14,BHTB
MOV10,14,BHTB
PREY,14,BHTB
UPK1B,14,BHTB
PAR6B.1,14,BHTB
OSBL2,14,BHTB
ALKMO,14,BHTB
FRY,14,BHTB
RDH12.2,14,BHTB
CD276,14,BHTB
K1C19,14,BHTB
ASCL1,14,BHTB
PAR14.5,14,BHTB
STX2.1,14,BHTB
UPK2,14,BHTB
PARM1,14,BHTB
MB12A,14,BHTB
HEM1,14,BHTB
PARP3,14,BHTB
CD166,14,BHTB
VAMP8,14,BHTB
TPRGL,14,BHTB
PGDH.3,14,BHTB
ZDH20,14,BHTB
EHBP1,14,BHTB
C2C4C,14,BHTB
BICL2,14,BHTB
SETD3,14,BHTB
TPD54,14,BHTB
LGR4,14,BHTB
BICL1,14,BHTB
RB11A,14,BHTB
GDPD5,14,BHTB
BT1A1.2,14,BHTB
SL9A2,14,BHTB
STX19,14,BHTB
EPDR1,14,BHTB
DEN2D,14,BHTB
MLKL,14,BHTB
ASSY,14,BHTB
MGT4B,14,BHTB
RHG29,14,BHTB
GALK1,14,BHTB
ZO2.1,14,BHTB
GNA14,14,BHTB
F102A.1,14,BHTB
I20RA,14,BHTB
ORN,14,BHTB
SGPP2.1,14,BHTB
L2GL2,14,BHTB
S38AA.1,14,BHTB
P2RY1.2,14,BHTB
GPV,14,BHTB
LTOR5,14,BHTB
XCT,14,BHTB
CAR14,14,BHTB
PR15L,14,BHTB
AP3D1,14,BHTB
MX3.4,14,BHTB
UBL3.1,14,BHTB
GTR1,14,BHTB
IN80C,14,BHTB
KPCD,14,BHTB
RBGP1.2,14,BHTB
SCLY,14,BHTB
GPC6A.3,14,BHTB
LRMP.2,14,BHTB
SC6A7,14,BHTB
MALD3.1,14,BHTB
SDCB1,14,BHTB
SYTL2.2,14,BHTB
CBL,14,BHTB
SCEL,14,BHTB
WSB2,14,BHTB
PNPO,14,BHTB
ZN687,15,BHTB
TSN5.1,15,BHTB
ERRFI,15,BHTB
CNKR3,15,BHTB
P3C2B.1,15,BHTB
RB40B,15,BHTB
AT2C2,15,BHTB
AGAP1.1,15,BHTB
DNSL3.1,15,BHTB
EMX1,15,BHTB
ZFY27,15,BHTB
NF7B.2,15,BHTB
TMC6,15,BHTB
A33.19,15,BHTB
CD276.3,15,BHTB
SSUH2.2,15,BHTB
RN112.1,15,BHTB
SQOR,15,BHTB
TM238.2,15,BHTB
GP132,15,BHTB
VASP,15,BHTB
MPPD1,15,BHTB
CBS,15,BHTB
BLNK,15,BHTB
CHM1B,15,BHTB
PSB8.1,15,BHTB
SAHHA,15,BHTB
MYLK,15,BHTB
HOIL1,15,BHTB
LGMN,15,BHTB
PEBP4.1,15,BHTB
RERE.1,15,BHTB
ERO1A,15,BHTB
ANX11,15,BHTB
NTF4,15,BHTB
RENBP,15,BHTB
TMED1,15,BHTB
CTDS1,15,BHTB
ST1C2,15,BHTB
UCP2,15,BHTB
WASC4,15,BHTB
M4K5.1,15,BHTB
MILK2,15,BHTB
TPSN,15,BHTB
TRI17,15,BHTB
BCL6.1,15,BHTB
ST38L,15,BHTB
A33.17,15,BHTB
PARG,15,BHTB
BT2A1.2,15,BHTB
SPHK2,15,BHTB
OGR1,15,BHTB
IL8.4,15,BHTB
PSME1,15,BHTB
BTG2,15,BHTB
MANS1,15,BHTB
HECA2.1,15,BHTB
TISB,15,BHTB
PNKP,15,BHTB
IRF6.1,15,BHTB
CREST,15,BHTB
PKHS1,15,BHTB
TESK2.1,15,BHTB
RHBT1,15,BHTB
M3K5,15,BHTB
TSN33.1,15,BHTB
GTR12,15,BHTB
DNMBP.2,15,BHTB
CMPK2,15,BHTB
FOXJ2,15,BHTB
VRK3,15,BHTB
KANK1.1,15,BHTB
ZC11A,15,BHTB
IER5L,15,BHTB
CAN8,15,BHTB
DHX32,15,BHTB
CCL25,15,BHTB
RB8NL,15,BHTB
PARPT.1,15,BHTB
FLOWR,15,BHTB
TBCD4,15,BHTB
PCY1A,15,BHTB
FKBP5,15,BHTB
DDX58,15,BHTB
UBP25,15,BHTB
TIAM1,15,BHTB
IRF2,15,BHTB
T53I1.1,15,BHTB
ARY2.1,15,BHTB
SCAM3,15,BHTB
GP157,15,BHTB
RSAD2,15,BHTB
MFS12,15,BHTB
SKIT8,15,BHTB
SCMC3,15,BHTB
HINT2,15,BHTB
STXA,15,BHTB
ATS3,16,ET
PTH1R,16,ET
KIME,16,ET
CE170,16,ET
HXK1,16,ET
DAPK2.1,16,ET
PCD18.1,16,ET
GPAT4,16,ET
CAHZ,16,ET
EMIL2,16,ET
GXLT2,16,ET
SRR,16,ET
TSP3,16,ET
SAHH3.1,16,ET
ZIC4,16,ET
POC1B,16,ET
DIXC1,16,ET
STT3A,16,ET
SMO,16,ET
DAB2,16,ET
FBLN2,16,ET
ENOX1,16,ET
COPT1,16,ET
TUTL,16,ET
NANO3,16,ET
SSRA,16,ET
XYLT2.1,16,ET
DNJB2,16,ET
RBBP9,16,ET
ECM2.1,16,ET
LRP6,16,ET
DACT1,16,ET
RHG31,16,ET
TM263.1,16,ET
BMP7,16,ET
MDGA1,16,ET
NRX2B,16,ET
CDV3,16,ET
PCD18,16,ET
SPRE1,16,ET
INO1B,16,ET
S2548,16,ET
TRAM2,16,ET
FKB10,16,ET
MMP16,16,ET
WBP2.1,16,ET
PTPRD.1,16,ET
AL1L2,16,ET
ALAT2,16,ET
CYH2.1,16,ET
CD9.1,16,ET
CRTAP.1,16,ET
EFNA3,16,ET
RRBP1.2,16,ET
CNPY2,16,ET
KAPCB,16,ET
NNTM,16,ET
B3GLT,16,ET
CHST2,16,ET
CX6B1,16,ET
WNT6,16,ET
MRM2,16,ET
BGAL,16,ET
ERD23,16,ET
TKN1,16,ET
GP180,16,ET
P5CR1,16,ET
SSRG,16,ET
BAMBI.1,16,ET
TPOR,16,ET
TBL2,16,ET
NEB2,16,ET
CEA21.1,16,ET
NT5D1,16,ET
VKGC,16,ET
SEPT2.1,16,ET
NALD2,16,ET
FOLR2,16,ET
PSA7.1,16,ET
UN5BA,16,ET
CFA36,16,ET
GTR10,16,ET
LYPA1,16,ET
TSH3,16,ET
TMTC2,16,ET
CALX,16,ET
STON1,16,ET
SOBP,16,ET
TGFB2.1,16,ET
MXRA5,16,ET
EIF1B,16,ET
SEC62,16,ET
RERG,16,ET
IGS10,16,ET
TWF2,16,ET
NEXMI,16,ET
FKBP7,16,ET
N2F1A,16,ET
PRDX4,16,ET
MEMO1,16,ET
CALU,16,ET
QSOX2,16,ET
FBN2.2,16,ET
RM01,16,ET
CKAP4,16,ET
D19L1,16,ET
EFNB1,16,ET
ANXA5,16,ET
KCTD8,16,ET
ITB5,16,ET
LIPL,16,ET
MRC2,16,ET
LDHB,16,ET
ZN511,16,ET
SC22B.1,16,ET
ZC4H2,16,ET
TPP2,16,ET
A1BG,16,ET
IQEC1,16,ET
OLFM,16,ET
PGGHG,16,ET
WISP1,16,ET
CKLF7,16,ET
HS12B,16,ET
BGH3,16,ET
B4GN3,16,ET
AP3B2,16,ET
SPR1B,16,ET
FACE1,16,ET
GNL3L,16,ET
MEF2C.1,16,ET
FKBP9,16,ET
PRDM5,16,ET
IF5A1,16,ET
RUNX2,16,ET
FSCN1,16,ET
