GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,FDR
GO:0009653,4.67719085470563e-19,2.73801153537818,65.5461638491548,138,2372,anatomical structure morphogenesis,2.30117790051517e-16
GO:0032502,1.99048222187005e-16,2.25046099046237,146.649869960988,228,5307,developmental process,4.89658626580033e-14
GO:0048856,7.25808650178254e-16,2.22281646028244,138.000650195059,217,4994,anatomical structure development,1.19032618629234e-13
GO:0009888,2.80385605570766e-15,2.75460122699387,43.7711313394018,99,1584,tissue development,3.44874294852042e-13
GO:0048646,8.32904354431508e-15,3.17111371063577,27.3845903771131,73,991,anatomical structure formation involved in morphogenesis,8.19577884760604e-13
GO:0048513,5.11430137090308e-14,2.35662735357465,68.0607932379714,129,2463,animal organ development,4.19372712414052e-12
GO:0030154,1.85570070798746e-13,2.1749811097222,93.4834200260078,159,3383,cell differentiation,1.14125593541229e-11
GO:0048869,1.85570070798746e-13,2.1749811097222,93.4834200260078,159,3383,cellular developmental process,1.14125593541229e-11
GO:0048731,1.2812683267212e-12,2.1302616837388,90.5542912873862,153,3277,system development,7.00426685274256e-11
GO:0007275,5.7803675496819e-12,2.01096794532807,116.363784135241,181,4211,multicellular organism development,2.84394083444349e-10
GO:0032501,1.9682407645633e-11,1.92955325060498,161.240247074122,228,5835,multicellular organismal process,8.80340414695586e-10
GO:0061061,1.48533033714846e-10,3.40187344926712,14.424577373212,43,522,muscle structure development,6.08985438230867e-09
GO:0009887,7.32263049101983e-10,2.67167523903091,25.1462938881665,59,910,animal organ morphogenesis,2.77133400121674e-08
GO:0035295,1.36096267061865e-09,2.64559232790637,24.8975942782835,58,901,tube development,4.19351267809935e-08
GO:0072359,1.3612491186026e-09,2.53990402064766,28.24122236671,63,1022,circulatory system development,4.19351267809935e-08
GO:0031032,1.36374396035751e-09,5.05479159244745,5.49902470741222,24,199,actomyosin structure organization,4.19351267809935e-08
GO:0048729,1.86983105902158e-09,3.05930600586691,16.2483745123537,44,588,tissue morphogenesis,5.41151106493305e-08
GO:0007167,2.43275679668544e-09,2.69614266712646,22.6592977893368,54,820,enzyme-linked receptor protein signaling pathway,6.64953524427353e-08
GO:0035239,5.13714151566413e-09,2.71184611477908,21.194733420026,51,767,tube morphogenesis,1.33024927668777e-07
GO:0030239,1.20820585120981e-08,7.00951483194391,2.73569570871261,16,99,myofibril assembly,2.97218639397614e-07
GO:0055002,1.87895853788192e-08,6.76363222835049,2.8185955786736,16,102,striated muscle cell development,4.40213143160906e-07
GO:0006936,3.34785242712424e-08,3.92873577386088,7.46098829648895,26,270,muscle contraction,7.48701542793239e-07
GO:0010927,4.74740347201049e-08,5.46744471744472,3.81339401820546,18,138,cellular component assembly involved in morphogenesis,1.01553152531703e-06
GO:0051146,6.35770416719806e-08,3.91489361702128,7.18465539661899,25,260,striated muscle cell differentiation,1.3033293542756e-06
GO:0003008,6.64250113926351e-08,2.16948884317139,36.3654096228869,70,1316,system process,1.30724422420706e-06
GO:0003012,7.85474294511523e-08,3.44827698203904,9.39531859557867,29,340,muscle system process,1.48635904961411e-06
GO:0007517,1.0693900759259e-07,3.68295739348371,7.90312093628088,26,286,muscle organ development,1.94866636057609e-06
GO:0001525,1.19866967819304e-07,3.03159211761026,12.4626137841352,34,451,angiogenesis,2.10623386311063e-06
GO:0045214,1.43276675947123e-07,7.458622283865,2.1001300390117,13,76,sarcomere organization,2.43076291606843e-06
GO:0055001,1.70714315768139e-07,4.48140574111944,5.05689206762029,20,183,muscle cell development,2.79845322398918e-06
GO:0048514,1.76325304763546e-07,2.78677855449455,15.1154096228869,38,547,blood vessel morphogenesis,2.79845322398918e-06
GO:0001568,1.86953425560177e-07,2.66537814670139,17.0497399219766,41,617,blood vessel development,2.87440891798772e-06
GO:0001944,2.37745902531483e-07,2.60552798575208,17.8511053315995,42,646,vasculature development,3.54457527410575e-06
GO:0007169,3.64980696536642e-07,2.69885566629753,15.5575422626788,38,563,transmembrane receptor protein tyrosine kinase signaling pathway,5.28148537341259e-06
GO:0042692,3.76871154025253e-07,3.33664125999123,8.98081924577373,27,325,muscle cell differentiation,5.29773165086928e-06
GO:0060537,5.22855728326482e-07,3.19498405221826,9.69928478543563,28,351,muscle tissue development,7.14569495379526e-06
GO:0071363,8.07749765596008e-07,2.68102271380808,14.7838101430429,36,535,cellular response to growth factor stimulus,1.07408887749523e-05
GO:0030334,1.08062438734779e-06,2.44481589029062,18.9011703511053,42,684,regulation of cell migration,1.39912420677662e-05
GO:0050793,1.17634785535489e-06,1.85549202673036,53.4151495448635,88,1933,regulation of developmental process,1.48400806367848e-05
GO:0070848,1.45425108374644e-06,2.57028615473552,15.8062418725618,37,572,response to growth factor,1.78872883300812e-05
GO:0007166,1.64788149774473e-06,1.79713392338796,60.3787386215865,96,2185,cell surface receptor signaling pathway,1.97745779729368e-05
GO:2000145,3.12224920834276e-06,2.33441377780718,19.7025357607282,42,713,regulation of cell motility,3.65749192977295e-05
GO:0071495,3.42173978319784e-06,2.0554135205775,30.5347854356307,57,1105,cellular response to endogenous stimulus,3.91510691472869e-05
GO:0007507,4.06918468870843e-06,2.51630570077172,15.1983094928479,35,550,heart development,4.55008833373761e-05
GO:0023057,4.75411130534848e-06,2.04320317864687,30.1202860858257,56,1090,negative regulation of signaling,5.0848320918075e-05
GO:0010648,4.75411130534848e-06,2.04320317864687,30.1202860858257,56,1090,negative regulation of cell communication,5.0848320918075e-05
GO:0048585,5.25922254164285e-06,1.9762970135083,33.9889466840052,61,1230,negative regulation of response to stimulus,5.50539891593251e-05
GO:0090287,5.63160159101474e-06,3.63669950738916,5.77535760728219,19,209,regulation of cellular response to growth factor stimulus,5.77239163079011e-05
GO:0033275,6.4418774432698e-06,12.5053827751196,0.746098829648895,7,27,actin-myosin filament sliding,6.46817082058927e-05
GO:0048598,8.1881890378427e-06,2.50096383522608,14.369310793238,33,520,embryonic morphogenesis,8.05717801323722e-05
GO:0048522,8.68115133509168e-06,1.57480431319125,115.534785435631,156,4181,positive regulation of cellular process,8.37475775855903e-05
GO:0070371,9.0724821429395e-06,3.50581380810682,5.96879063719116,19,216,ERK1 and ERK2 cascade,8.54595482386602e-05
GO:0048518,9.20600824522153e-06,1.5584137991573,127.638166449935,169,4619,positive regulation of biological process,8.54595482386602e-05
GO:0009968,1.07235934218656e-05,2.03233914209115,27.9648894668401,52,1012,negative regulation of signal transduction,9.77038511769978e-05
GO:0040012,1.12144951765614e-05,2.20341966584054,20.7526007802341,42,751,regulation of locomotion,0.000100318756852149
GO:0016477,1.17573891869978e-05,1.95031197816274,32.5796488946684,58,1179,cell migration,0.000103297062142909
GO:0051239,1.248102920837e-05,1.71707902554266,59.1076072821847,91,2139,regulation of multicellular organismal process,0.000107730988956457
GO:0001667,1.40361338796736e-05,2.75950746431296,10.2519505851756,26,371,ameboidal-type cell migration,0.000119065135668955
GO:0070372,1.70544866737181e-05,3.47386167598934,5.6924577373212,18,206,regulation of ERK1 and ERK2 cascade,0.000142217075313039
GO:0050789,1.87517341723131e-05,1.53596821096543,245.632314694408,287,8889,regulation of biological process,0.000153764220212967
GO:0060070,2.07855400418738e-05,3.28589021815623,6.32802340702211,19,229,canonical Wnt signaling pathway,0.000164431583196652
GO:0072338,2.09561194396757e-05,Inf,0.0828998699609883,3,3,lactam metabolic process,0.000164431583196652
GO:0008543,2.10552637020104e-05,5.98192771084337,1.93433029908973,10,70,fibroblast growth factor receptor signaling pathway,0.000164431583196652
GO:0048468,2.3418866354541e-05,1.67227153872594,62.5894018205462,94,2265,cell development,0.000179285409964057
GO:0032989,2.36860805846824e-05,2.12768443287181,21.415799739922,42,775,cellular component morphogenesis,0.000179285409964057
GO:0030036,2.54448115644908e-05,2.26121399716699,17.2431729518856,36,624,actin cytoskeleton organization,0.00018967950438984
GO:0044344,2.97913836190565e-05,5.13388543823326,2.43172951885566,11,88,cellular response to fibroblast growth factor stimulus,0.000216266965302109
GO:0065007,3.00342677098553e-05,1.52643969156909,254.088101430429,294,9195,biological regulation,0.000216266965302109
GO:0061138,3.03301231826128e-05,3.8164720027482,4.33842652795839,15,157,morphogenesis of a branching epithelium,0.000216266965302109
GO:0030029,3.08050121063226e-05,2.16432716284345,19.5091027308192,39,706,actin filament-based process,0.000216515227947296
GO:2000026,3.14302435218521e-05,1.9196642747178,30.6176853055917,54,1108,regulation of multicellular organismal development,0.000217798307221848
GO:0051094,3.20956422898339e-05,1.96782578152441,27.6056566970091,50,999,positive regulation of developmental process,0.000219320222313865
GO:0048880,3.2947361063383e-05,2.67050438596491,10.1414174252276,25,367,sensory system development,0.000222056186892937
GO:0007267,3.57883335501833e-05,1.88740604387176,32.3033159947984,56,1169,cell-cell signaling,0.000237944055495813
GO:0050678,3.98613398767219e-05,3.01500947697352,7.21228868660598,20,261,regulation of epithelial cell proliferation,0.000261490389591296
GO:0009719,4.32362263394036e-05,1.83427998663548,35.646944083225,60,1290,response to endogenous stimulus,0.000279662932144169
GO:0022618,4.376838572175e-05,3.6854156296665,4.47659297789337,15,162,protein-RNA complex assembly,0.000279662932144169
GO:0030049,4.87083940128761e-05,11.256877276724,0.690832249674902,6,25,muscle filament sliding,0.00030420837694833
GO:0002455,4.88464670303213e-05,8.61920475169114,0.99479843953186,7,36,humoral immune response mediated by circulating immunoglobulin,0.00030420837694833
GO:0071774,5.01488851334096e-05,4.81922351832214,2.56989596879064,11,93,response to fibroblast growth factor,0.000308415643570469
GO:0048519,5.1067658041371e-05,1.51724105838227,110.864759427828,147,4012,negative regulation of biological process,0.000310188737732772
GO:0060485,5.20820560163015e-05,3.16645595286372,6.18985695708713,18,224,mesenchyme development,0.000312492336097809
GO:0150063,5.33061366499104e-05,2.64426546925737,9.80981794538362,24,355,visual system development,0.000315983364238023
GO:0040011,5.64450082534287e-05,1.98989661654135,24.4554616384915,45,885,locomotion,0.00033060647691294
GO:0050794,5.7949736513541e-05,1.48318955531025,232.810468140442,272,8425,regulation of cellular process,0.000335426710172496
GO:0072006,5.870344622772e-05,4.03638684298627,3.5646944083225,13,129,nephron development,0.000335838320279514
GO:0007492,6.18372216108386e-05,5.86101398601399,1.76853055916775,9,64,endoderm development,0.000347662753319342
GO:0071826,6.21835818945164e-05,3.56298138639281,4.61475942782835,15,167,protein-RNA complex organization,0.000347662753319342
GO:0030178,6.88919146297046e-05,3.96743870330755,3.61996098829649,13,131,negative regulation of Wnt signaling pathway,0.000380840696604659
GO:0030111,7.86372638609946e-05,2.85817050646447,7.57152145643693,20,274,regulation of Wnt signaling pathway,0.000425835468265836
GO:0072001,7.87622512442909e-05,2.77479747974797,8.17945383615085,21,296,renal system development,0.000425835468265836
GO:0003013,8.1325456174925e-05,2.51239669421488,10.7217165149545,25,388,circulatory system process,0.000431806237646358
GO:0018108,8.20580517571832e-05,3.04643045764541,6.4109232769831,18,232,peptidyl-tyrosine phosphorylation,0.000431806237646358
GO:0048870,8.24995657291822e-05,1.79559869775034,35.674577373212,59,1291,cell motility,0.000431806237646358
GO:0030324,8.7042825212456e-05,3.86829013881088,3.70286085825748,13,134,lung development,0.000448450510797255
GO:0009790,8.75025386921473e-05,1.9342550731047,25.6713263979194,46,929,embryo development,0.000448450510797255
GO:0018212,9.15989611773074e-05,3.01781326781327,6.46618985695709,18,234,peptidyl-tyrosine modification,0.00046232758946652
GO:0001763,9.29704336250223e-05,3.42628897807965,4.78055916775032,15,173,morphogenesis of a branching structure,0.00046232758946652
GO:0060828,9.33789522718857e-05,3.26617214371555,5.33322496749025,16,193,regulation of canonical Wnt signaling pathway,0.00046232758946652
GO:0001654,9.39690222492927e-05,2.6000355366027,9.53348504551365,23,345,eye development,0.00046232758946652
GO:0016055,9.96613731070459e-05,2.47741168478261,10.8598829648895,25,393,Wnt signaling pathway,0.000485479164046204
GO:0001822,0.000100793270680007,2.80204013537347,7.70968790637191,20,279,kidney development,0.000486039793499739
GO:0048523,0.000101752233192019,1.5006754531585,104.094603381014,138,3767,negative regulation of cellular process,0.000486039793499739
GO:0031327,0.000103971045282854,1.71941645228563,42.417100130039,67,1535,negative regulation of cellular biosynthetic process,0.000490288637829897
GO:0030335,0.000104634770268576,2.42083525139379,11.5507152145644,26,418,positive regulation of cell migration,0.000490288637829897
GO:0060538,0.000109194570615981,3.77393908549953,3.78576072821847,13,137,skeletal muscle organ development,0.000506827629651535
GO:0090130,0.000110611957188459,2.86930418719212,7.15702210663199,19,259,tissue migration,0.000508608251745063
GO:0050673,0.000120233924508455,2.68521649700181,8.42815344603381,21,305,epithelial cell proliferation,0.000543919375338373
GO:0009890,0.000121250650788082,1.70908275423536,42.638166449935,67,1543,negative regulation of biosynthetic process,0.000543919375338373
GO:0198738,0.000121607990421181,2.44336461126005,10.9980494148244,25,398,cell-cell signaling by wnt,0.000543919375338373
GO:0030323,0.000126530808995426,3.71353444290337,3.84102730819246,13,139,respiratory tube development,0.00056083926149324
GO:0090090,0.000128191296921079,4.292506826297,2.8462288686606,11,103,negative regulation of canonical Wnt signaling pathway,0.000563126054331885
GO:0014706,0.000135110202388499,3.02791461412151,6.07932379713914,17,220,striated muscle tissue development,0.000588267429868507
GO:0008015,0.000146651712813379,2.46145200379333,10.4730169050715,24,379,blood circulation,0.000628224263086879
GO:0022008,0.00014684103710364,1.70902340408988,41.2841352405722,65,1494,neurogenesis,0.000628224263086879
GO:0007369,0.000153425826101328,3.43135210288495,4.44895968790637,14,161,gastrulation,0.000650653307280906
GO:0051253,0.000155246704289491,1.86867758893482,27.0806241872562,47,980,negative regulation of RNA metabolic process,0.000650653307280906
GO:0042127,0.000156559983060441,1.67985880609807,44.6553966189857,69,1616,regulation of cell population proliferation,0.000650653307280906
GO:0010558,0.000158494819711224,1.70374893386059,41.3946684005202,65,1498,negative regulation of macromolecule biosynthetic process,0.000650653307280906
GO:2000147,0.000158695928605099,2.35297922224917,11.8546814044213,26,429,positive regulation of cell motility,0.000650653307280906
GO:0050680,0.000165935273566406,4.15611492499364,2.92912873862159,11,106,negative regulation of epithelial cell proliferation,0.000674712021443567
GO:0002009,0.000168061096055532,2.30257009345794,12.5731469440832,27,455,morphogenesis of an epithelium,0.0006777545840928
GO:0040036,0.000173096293720027,11.8571428571429,0.552665799739922,5,20,regulation of fibroblast growth factor receptor signaling pathway,0.000692385174880109
GO:0070374,0.000178652692198884,3.81632346954081,3.45416124837451,12,125,positive regulation of ERK1 and ERK2 cascade,0.000708847778724603
GO:0006816,0.000187052007867797,2.5289600150768,9.34005201560468,22,338,calcium ion transport,0.000736236702967649
GO:0007411,0.000190416046523727,2.83142826621087,6.85305591677503,18,248,axon guidance,0.000737674762910817
GO:0097485,0.000190416046523727,2.83142826621087,6.85305591677503,18,248,neuron projection guidance,0.000737674762910817
GO:0048754,0.000192629080697188,3.78259207340385,3.48179453836151,12,126,branching morphogenesis of an epithelial tube,0.000740418028929815
GO:0044057,0.000197649429777884,2.31750525457899,12.0204811443433,26,435,regulation of system process,0.000751759218978938
GO:0043542,0.00019863556599037,3.3395530204154,4.55949284785436,14,165,endothelial cell migration,0.000751759218978938
GO:0010511,0.00020102900924391,53.1504739336493,0.13816644993498,3,5,regulation of phosphatidylinositol biosynthetic process,0.000755009714106899
GO:0048738,0.000210608282619618,3.02389943547664,5.72009102730819,16,207,cardiac muscle tissue development,0.00078499450794585
GO:0045595,0.000224148732935075,1.77188940092166,32.2204161248374,53,1166,regulation of cell differentiation,0.00082918177897787
GO:0040017,0.000244881314591297,2.28305704019084,12.1862808842653,26,441,positive regulation of locomotion,0.000894983535142472
GO:0010605,0.00024557475049641,1.60617618805447,52.8901170351105,78,1914,negative regulation of macromolecule metabolic process,0.000894983535142472
GO:0010631,0.000255608921587415,2.75831841086078,7.01885565669701,18,254,epithelial cell migration,0.000924702863389764
GO:0090132,0.000281291374491708,2.73476761712056,7.074122236671,18,256,epithelium migration,0.00101018508211621
GO:0007519,0.000297632331052418,3.59200968523002,3.64759427828348,12,132,skeletal muscle tissue development,0.0010575913239965
GO:0001501,0.000298791044787629,2.2918765743073,11.6612483745124,25,422,skeletal system development,0.0010575913239965
GO:0048762,0.000310767092039278,3.03720197314333,5.33322496749025,15,193,mesenchymal cell differentiation,0.00109212435202375
GO:0006959,0.000316465598610149,4.16615298402914,2.65279583875163,10,96,humoral immune response,0.00110426293983116
GO:0006956,0.000323894537524458,6.09160928929863,1.32639791937581,7,48,complement activation,0.00112222614409883
GO:0001732,0.000337133342195895,15.778305621536,0.359232769830949,4,13,formation of cytoplasmic translation initiation complex,0.00115381964401857
GO:0010562,0.000340048472322546,2.07243942501322,15.9720416124837,31,578,positive regulation of phosphorus metabolic process,0.00115381964401857
GO:0045937,0.000340048472322546,2.07243942501322,15.9720416124837,31,578,positive regulation of phosphate metabolic process,0.00115381964401857
GO:0090329,0.000353374596310559,7.37025759196774,0.967165149544863,6,35,regulation of DNA-templated DNA replication,0.00119082398208764
GO:0140694,0.000356354042956507,2.40445155311071,9.78218465539662,22,354,non-membrane-bounded organelle assembly,0.00119269516418096
GO:0045892,0.000364325251192248,1.84035361572381,25.0081274382315,43,905,negative regulation of DNA-templated transcription,0.00120437205936216
GO:0048736,0.000364738692774311,3.13001163651751,4.83582574772432,14,175,appendage development,0.00120437205936216
GO:0007015,0.000391294512912408,2.28939462367703,11.1914824447334,24,405,actin filament organization,0.00121095029184866
GO:0034285,0.000393804972958912,35.4312796208531,0.165799739921977,3,6,response to disaccharide,0.00121095029184866
GO:2000589,0.000393804972958912,35.4312796208531,0.165799739921977,3,6,regulation of metanephric mesenchymal cell migration,0.00121095029184866
GO:0009744,0.000393804972958912,35.4312796208531,0.165799739921977,3,6,response to sucrose,0.00121095029184866
GO:0035787,0.000393804972958912,35.4312796208531,0.165799739921977,3,6,cell migration involved in kidney development,0.00121095029184866
GO:0035788,0.000393804972958912,35.4312796208531,0.165799739921977,3,6,cell migration involved in metanephros development,0.00121095029184866
GO:0035789,0.000393804972958912,35.4312796208531,0.165799739921977,3,6,metanephric mesenchymal cell migration,0.00121095029184866
GO:0019375,0.000393804972958912,35.4312796208531,0.165799739921977,3,6,galactolipid biosynthetic process,0.00121095029184866
GO:0006682,0.000393804972958912,35.4312796208531,0.165799739921977,3,6,galactosylceramide biosynthetic process,0.00121095029184866
GO:0021631,0.000393804972958912,35.4312796208531,0.165799739921977,3,6,optic nerve morphogenesis,0.00121095029184866
GO:0046476,0.000393804972958912,35.4312796208531,0.165799739921977,3,6,glycosylceramide biosynthetic process,0.00121095029184866
GO:0045934,0.000400701704978978,1.76183897954968,29.8163198959688,49,1079,negative regulation of nucleobase-containing compound metabolic process,0.00122450458912831
GO:1902679,0.000408787647254594,1.82909110672295,25.1462938881665,43,910,negative regulation of RNA biosynthetic process,0.00124150322499543
GO:2000351,0.000414280222166608,7.12410501193317,0.99479843953186,6,36,regulation of endothelial cell apoptotic process,0.00125046545586485
GO:0002040,0.000425082757553253,3.68702875976342,3.26072821846554,11,118,sprouting angiogenesis,0.00127524827265976
